unique_id;Date; Open;High;Low;Close;Adj;Close2;Volume
1;21-Feb-24;0.21;0.21;0.21;0.21;0.21;-;
1;20-Feb-24;0.21;0.21;0.21;0.21;0.21;-;
1;19-Feb-24;0.214;0.214;0.214;0.214;0.214;500;
1;16-Feb-24;0.218;0.232;0.218;0.232;0.232;6.846;
1;15-Feb-24;0.24;0.24;0.24;0.24;0.24;4.3;
1;14-Feb-24;0.23;0.23;0.23;0.23;0.23;-;
1;13-Feb-24;0.23;0.23;0.23;0.23;0.23;-;
1;12-Feb-24;0.23;0.248;0.23;0.248;0.248;500;
1;09-Feb-24;0.204;0.204;0.204;0.204;0.204;-;
1;08-Feb-24;0.204;0.204;0.204;0.204;0.204;-;
1;07-Feb-24;0.204;0.204;0.204;0.204;0.204;-;
1;06-Feb-24;0.206;0.206;0.206;0.206;0.206;-;
1;05-Feb-24;0.212;0.212;0.212;0.212;0.212;-;
1;02-Feb-24;0.216;0.216;0.216;0.216;0.216;-;
1;01-Feb-24;0.218;0.218;0.218;0.218;0.218;-;
1;31-Jan-24;0.214;0.214;0.214;0.214;0.214;-;
1;30-Jan-24;0.216;0.216;0.216;0.216;0.216;-;
1;29-Jan-24;0.214;0.214;0.214;0.214;0.214;-;
1;26-Jan-24;0.22;0.22;0.22;0.22;0.22;-;
1;25-Jan-24;0.224;0.224;0.224;0.224;0.224;-;
1;24-Jan-24;0.216;0.216;0.216;0.216;0.216;-;
1;23-Jan-24;0.23;0.23;0.23;0.23;0.23;500;
1;22-Jan-24;0.23;0.23;0.23;0.23;0.23;-;
1;19-Jan-24;0.24;0.24;0.24;0.24;0.24;-;
1;18-Jan-24;0.23;0.23;0.23;0.23;0.23;-;
1;17-Jan-24;0.24;0.24;0.24;0.24;0.24;10;
1;16-Jan-24;0.234;0.234;0.234;0.234;0.234;-;
1;15-Jan-24;0.234;0.234;0.234;0.234;0.234;-;
1;12-Jan-24;0.234;0.234;0.234;0.234;0.234;-;
1;11-Jan-24;0.234;0.234;0.234;0.234;0.234;-;
1;10-Jan-24;0.234;0.234;0.234;0.234;0.234;-;
1;09-Jan-24;0.234;0.234;0.234;0.234;0.234;-;
1;08-Jan-24;0.268;0.268;0.268;0.268;0.268;2.59;
1;05-Jan-24;0.242;0.272;0.242;0.27;0.27;1.321;
1;04-Jan-24;0.246;0.246;0.246;0.246;0.246;-;
1;03-Jan-24;0.246;0.246;0.246;0.246;0.246;-;
1;02-Jan-24;0.246;0.246;0.246;0.246;0.246;-;
1;29-Dec-23;0.238;0.238;0.238;0.238;0.238;-;
1;28-Dec-23;0.24;0.24;0.24;0.24;0.24;-;
1;27-Dec-23;0.24;0.24;0.24;0.24;0.24;-;
1;22-Dec-23;0.238;0.24;0.238;0.24;0.24;100;
1;21-Dec-23;0.236;0.236;0.236;0.236;0.236;-;
1;20-Dec-23;0.236;0.236;0.236;0.236;0.236;-;
1;19-Dec-23;0.232;0.232;0.232;0.232;0.232;-;
1;18-Dec-23;0.232;0.232;0.232;0.232;0.232;-;
1;15-Dec-23;0.234;0.234;0.234;0.234;0.234;-;
1;14-Dec-23;0.232;0.232;0.232;0.232;0.232;2.5;
1;13-Dec-23;0.24;0.24;0.24;0.24;0.24;1.2;
1;12-Dec-23;0.24;0.24;0.24;0.24;0.24;-;
1;11-Dec-23;0.24;0.24;0.24;0.24;0.24;-;
1;08-Dec-23;0.248;0.248;0.248;0.248;0.248;-;
1;07-Dec-23;0.246;0.246;0.246;0.246;0.246;-;
1;06-Dec-23;0.252;0.252;0.252;0.252;0.252;-;
1;05-Dec-23;0.244;0.244;0.244;0.244;0.244;-;
1;04-Dec-23;0.252;0.252;0.252;0.252;0.252;-;
1;01-Dec-23;0.248;0.248;0.248;0.248;0.248;-;
1;30-Nov-23;0.27;0.27;0.25;0.25;0.25;13;
1;29-Nov-23;0.262;0.262;0.262;0.262;0.262;-;
1;28-Nov-23;0.246;0.246;0.246;0.246;0.246;-;
1;27-Nov-23;0.262;0.262;0.262;0.262;0.262;-;
1;24-Nov-23;0.258;0.258;0.258;0.258;0.258;-;
1;23-Nov-23;0.254;0.254;0.254;0.254;0.254;-;
1;22-Nov-23;0.256;0.256;0.256;0.256;0.256;-;
1;21-Nov-23;0.26;0.26;0.26;0.26;0.26;173;
1;20-Nov-23;0.262;0.262;0.262;0.262;0.262;-;
1;17-Nov-23;0.264;0.264;0.264;0.264;0.264;-;
1;16-Nov-23;0.26;0.26;0.26;0.26;0.26;-;
1;15-Nov-23;0.262;0.262;0.262;0.262;0.262;-;
1;14-Nov-23;0.272;0.272;0.272;0.272;0.272;-;
1;13-Nov-23;0.254;0.254;0.254;0.254;0.254;-;
1;10-Nov-23;0.268;0.268;0.268;0.268;0.268;-;
1;09-Nov-23;0.27;0.27;0.27;0.27;0.27;-;
1;08-Nov-23;0.276;0.276;0.276;0.276;0.276;-;
1;07-Nov-23;0.28;0.28;0.28;0.28;0.28;-;
1;06-Nov-23;0.282;0.282;0.282;0.282;0.282;-;
1;03-Nov-23;0.282;0.282;0.282;0.282;0.282;-;
1;02-Nov-23;0.272;0.274;0.272;0.274;0.274;12.383;
1;01-Nov-23;0.274;0.274;0.274;0.274;0.274;-;
1;31-Oct-23;0.286;0.286;0.286;0.286;0.286;-;
1;30-Oct-23;0.29;0.29;0.29;0.29;0.29;-;
1;27-Oct-23;0.302;0.302;0.302;0.302;0.302;-;
1;26-Oct-23;0.31;0.31;0.31;0.31;0.31;-;
1;25-Oct-23;0.314;0.314;0.314;0.314;0.314;-;
1;24-Oct-23;0.318;0.318;0.318;0.318;0.318;-;
1;23-Oct-23;0.32;0.32;0.32;0.32;0.32;-;
1;20-Oct-23;0.33;0.33;0.33;0.33;0.33;-;
1;19-Oct-23;0.324;0.324;0.324;0.324;0.324;-;
1;18-Oct-23;0.328;0.328;0.328;0.328;0.328;-;
1;17-Oct-23;0.324;0.324;0.324;0.324;0.324;-;
1;16-Oct-23;0.324;0.324;0.324;0.324;0.324;-;
1;13-Oct-23;0.318;0.318;0.318;0.318;0.318;-;
1;12-Oct-23;0.32;0.32;0.32;0.32;0.32;-;
1;11-Oct-23;0.322;0.322;0.322;0.322;0.322;-;
1;10-Oct-23;0.328;0.328;0.328;0.328;0.328;-;
1;09-Oct-23;0.334;0.334;0.334;0.334;0.334;-;
1;06-Oct-23;0.322;0.322;0.322;0.322;0.322;-;
1;05-Oct-23;0.316;0.316;0.316;0.316;0.316;-;
1;04-Oct-23;0.32;0.32;0.32;0.32;0.32;-;
1;03-Oct-23;0.32;0.32;0.32;0.32;0.32;-;
1;02-Oct-23;0.326;0.326;0.326;0.326;0.326;-;
1;29-Sep-23;0.328;0.328;0.328;0.328;0.328;-;
1;28-Sep-23;0.33;0.33;0.33;0.33;0.33;-;
1;27-Sep-23;0.33;0.33;0.33;0.33;0.33;-;
1;26-Sep-23;0.338;0.338;0.338;0.338;0.338;-;
1;25-Sep-23;0.332;0.332;0.332;0.332;0.332;-;
1;22-Sep-23;0.332;0.332;0.332;0.332;0.332;-;
1;21-Sep-23;0.326;0.326;0.326;0.326;0.326;-;
1;20-Sep-23;0.334;0.334;0.334;0.334;0.334;-;
1;19-Sep-23;0.338;0.338;0.338;0.338;0.338;-;
1;18-Sep-23;0.376;0.376;0.376;0.376;0.376;10.1;
1;15-Sep-23;0.346;0.346;0.346;0.346;0.346;-;
1;14-Sep-23;0.342;0.342;0.342;0.342;0.342;-;
1;13-Sep-23;0.34;0.34;0.34;0.34;0.34;-;
1;12-Sep-23;0.344;0.344;0.344;0.344;0.344;-;
1;11-Sep-23;0.344;0.344;0.344;0.344;0.344;-;
1;08-Sep-23;0.348;0.348;0.348;0.348;0.348;-;
